frequency (cm^-1),IR intensity,eda_syn.out,eda_anti.out,molecule 1
43.514985,0.275401,0.252354,0.023047,0.275401
43.711730,0.282254,0.259115,0.023139,0.282254
44.167235,0.297039,0.273674,0.023365,0.297039
44.437575,0.304888,0.281380,0.023508,0.304888
44.709417,0.311911,0.288252,0.023659,0.311911
44.968391,0.317664,0.293855,0.023809,0.317664
45.542012,0.326622,0.302454,0.024168,0.326622
45.738757,0.328369,0.304069,0.024300,0.328369
45.803058,0.328785,0.304442,0.024344,0.328785
46.050940,0.329666,0.305148,0.024517,0.329666
46.464602,0.328566,0.303742,0.024823,0.328566
46.697945,0.326557,0.301553,0.025005,0.326557
46.736444,0.326133,0.301098,0.025035,0.326133
47.438882,0.314171,0.288549,0.025622,0.314171
47.569039,0.311166,0.285429,0.025737,0.311166
47.765784,0.306229,0.280315,0.025913,0.306229
48.427498,0.286793,0.260258,0.026534,0.286793
48.491629,0.284728,0.258131,0.026597,0.284728
48.763471,0.275721,0.248858,0.026863,0.275721
49.074705,0.265029,0.237855,0.027174,0.265029
49.596066,0.246655,0.218954,0.027701,0.246655
49.792811,0.239690,0.211790,0.027900,0.239690
50.157052,0.226903,0.198636,0.028267,0.226903
50.518656,0.214482,0.185859,0.028623,0.214482
50.710529,0.208048,0.179241,0.028807,0.208048
50.790498,0.205405,0.176522,0.028882,0.205405
51.623094,0.179451,0.149849,0.029601,0.179451
51.819838,0.173788,0.144039,0.029749,0.173788
51.886605,0.171910,0.142113,0.029796,0.171910
52.346352,0.159603,0.129515,0.030089,0.159603
52.545683,0.154612,0.124417,0.030194,0.154612
52.817525,0.148144,0.117827,0.030317,0.148144
52.986960,0.144310,0.113930,0.030380,0.144310
53.616159,0.131384,0.100857,0.030527,0.131384
53.650121,0.130744,0.100213,0.030531,0.130744
53.846865,0.127150,0.096603,0.030548,0.127150
53.982176,0.124790,0.094237,0.030552,0.124790
54.572710,0.115503,0.084990,0.030513,0.115503
54.844552,0.111758,0.081290,0.030468,0.111758
55.345712,0.105664,0.075312,0.030352,0.105664
55.617999,0.102763,0.072487,0.030276,0.102763
55.677148,0.102169,0.071910,0.030259,0.102169
55.873892,0.100281,0.070082,0.030199,0.100281
56.599737,0.094405,0.064434,0.029971,0.094405
56.871579,0.092601,0.062715,0.029886,0.092601
57.075266,0.091376,0.061550,0.029825,0.091376
57.253823,0.090385,0.060611,0.029773,0.090385
57.704175,0.088205,0.058551,0.029654,0.088205
57.900919,0.087384,0.057777,0.029607,0.087384
58.626764,0.084954,0.055484,0.029470,0.084954
58.804819,0.084486,0.055040,0.029445,0.084486
58.889646,0.084278,0.054843,0.029435,0.084278
58.898606,0.084257,0.054823,0.029434,0.084257
59.731202,0.082718,0.053335,0.029383,0.082718
59.927946,0.082469,0.053085,0.029384,0.082469
60.525470,0.081939,0.052522,0.029418,0.081939
60.534373,0.081934,0.052515,0.029418,0.081934
60.653791,0.081866,0.052436,0.029431,0.081866
60.925634,0.081756,0.052290,0.029465,0.081756
61.620859,0.081720,0.052125,0.029595,0.081720
61.758229,0.081752,0.052125,0.029627,0.081752
61.954974,0.081818,0.052141,0.029677,0.081818
62.161294,0.081912,0.052179,0.029733,0.081912
62.263926,0.081968,0.052205,0.029763,0.081968
62.680818,0.082258,0.052363,0.029895,0.082258
62.952661,0.082498,0.052507,0.029991,0.082498
63.785256,0.083469,0.053145,0.030323,0.083469
63.797117,0.083485,0.053156,0.030328,0.083485
63.982001,0.083748,0.053338,0.030410,0.083748
